Name,Rating,Directed By,Runtime,Studio,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count
The Most Hated Woman In America, NR," Geoffrey Orthwein,  Andrew Sullivan",   104 minutes    , Screen Media Films  ,  45%    ,    22  ,  25%    , 531
Don't Kill It, NR, Tommy O'Haver,   91 minutes    , Netflix  ,  36%    ,    13  ,  39%    , 252
Dig Two Graves, NR, Mike Mendez,   93 minutes    , Archstone Distribution  ,  92%    ,    25  ,  38%    , 344
Louis C.K.: 2017, NR, Hunter Adams,   85 minutes    , Area 23a  ,  76%    ,    20  ,  39%    , 614
Solace," PG-13 (for intense sequences of violence and action, thematic elements and brief strong language)", Justin Kurzel,   116 minutes    , 20th Century Fox  ,  18%    ,    51  ,  43%    ," 57,346"
Passengers," R (for violence and bloody images throughout, sexuality, nudity and language)", Afonso Poyart,   102 minutes    , Lionsgate Premiere  ,  25%    ,    274  ,  43%    ," 5,076"
Live By Night," PG-13 (for sexuality, nudity and action/peril)", Morten Tyldum,   116 minutes    , Columbia Pictures  ,  31%    ,    229  ,  63%    ," 55,027"
I Am Michael," R (for strong violence, language throughout, and some sexuality/nudity)", Ben Affleck,   128 minutes    , Warner Bros. Pictures  ,  34%    ,    36  ,  42%    ," 13,316"
The Brand New Testament (Le tout nouveau testament), NR, Justin Kelly,   102 minutes    , Brainstorm Media  ,  64%    ,    77  ,  37%    ," 3,589"
Uncertain, NR, Jaco Van Dormael,   112 minutes    , Music Box Films  ,  82%    ,    22  ,  68%    ," 2,826"
Man Down, NR," Ewan McNicol,  Anna Sandilands",   81 minutes    , Lucid Inc.  ,  100%    ,    54  ,  82%    , 375
Tanna," R (for some disturbing violence, and language throughout)", Dito Montiel,   90 minutes    , Krannel Pictures  ,  15%    ,    38  ,  58%    ," 3,675"
Jackie, NR," Bentley Dean,  Martin Butler",   104 minutes    , Screen Australia  ,  92%    ,    341  ,  77%    , 767
The Eyes of My Mother, R (for brief strong violence and some language), Pablo Larraín,   95 minutes    , Fox Searchlight Pictures  ,  87%    ,    96  ,  60%    ," 28,355"
Collateral Beauty," R (for disturbing violent content and behavior, and brief nudity)", Nicolas Pesce,   77 minutes    , Magnet Releasing  ,  78%    ,    180  ,  57%    ," 3,267"
Incarnate, PG-13 (for thematic elements and brief strong language), David Frankel,   94 minutes    , New Line Cinema  ,  14%    ,    34  ,  64%    ," 22,221"
Fire at Sea (Fuocoammare), R (for language and some sexuality), John Madden,   132 minutes    , EuropaCorp  ,  76%    ,    90  ,  71%    ," 9,788"
Tower, NR, Gianfranco Rosi,   108 minutes    , 21UNO FILM  ,  94%    ,    97  ,  65%    ," 2,307"
From Nowhere, NR, Keith Maitland,   82 minutes    , Go-Valley  ,  99%    ,    13  ,  89%    ," 3,294"
The Love Witch, NR, Matthew Newton,   89 minutes    , No Place for Films  ,  92%    ,    109  ,  75%    , 129
Always Shine, NR, Anna Biller,   120 minutes    , Oscilloscope Laboratories  ,  95%    ,    48  ,  61%    ," 2,333"
Johnny Frank Garrett's Last Word, NR, Sophia Takal,   85 minutes    , Little Teeth Pictures  ,  92%    ,    6  ,  53%    , 673
"Mother, May I Sleep with Danger?", NR, Gustavo Ron,   100 minutes    , Bullet Pictures  ,  43%    ,    13  ,  15%    , 110
Being 17 (Quand on a 17 ans), NR, Melanie Aitkenhead,   120 minutes    , Sony Pictures Television  ,  62%    ,    40  ,  19%    , 83
A Kind of Murder, NR, André Téchiné,   114 minutes    , Fidélité Films  ,  95%    ,    16  ,  74%    , 606
Fences, R (for language and some violence), Andy Goddard,   95 minutes    , Killer Films  ,  38%    ,    258  ,  14%    , 492
Elle," PG-13 (for thematic elements, language and some suggestive references)", Denzel Washington,   133 minutes    , Paramount Pictures  ,  92%    ,    235  ,  75%    ," 36,174"
Cold War 2," R (for violence involving sexual assault, disturbing sexual content, some grisly images, brief graphic nudity, and language)", Paul Verhoeven,   130 minutes    , SBS Productions  ,  91%    ,    9  ,  73%    ," 11,902"
New Life, NR," Sunny Luk,  Longman Leung",   114 minutes    , Edko Films  ,  56%    ,    7  ,  57%    , 508
Stray Bullets, PG (for thematic content), Drew Waters,   88 minutes    , Circle 4 Entertainment  ,  29%    ,    8  ,  62%    , 179
Deidra & Laney Rob a Train, NR, Jack Fessenden,   83 minutes    , Glass Eye Pix  ,  75%    ,    24  ,  15%    , 72
Burning Sands, NR, Sydney Freeland,   90 minutes    , Netflix  ,  92%    ,    26  ,  57%    , 234
Resistance, NR, Gerard McMurray,   96 minutes    , Netflix  ,  88%    ,    17  ,  62%    , 308
Doctor Strange, NR, Amit Gupta,   92 minutes    , Metrodome Distribution  ,  65%    ,    364  ,  16%    , 379
Moana," PG-13 (for sci-fi violence and action throughout, and an intense crash sequence)", Scott Derrickson,   130 minutes    , Walt Disney Pictures  ,  89%    ,    273  ,  86%    ," 110,078"
Shut In," PG (for peril, some scary images and brief thematic elements)"," Ron Clements,  John Musker,  Chris Williams (IX) ,  Don Hall",   103 minutes    , Walt Disney Pictures  ,  96%    ,    43  ,  89%    ," 69,213"
Marinoni: The Fire in the Frame," PG-13 (for terror and some violence/bloody images, nudity, thematic elements and brief strong language)", Farren Blackburn,   91 minutes    , EuropaCorp  ,  9%    ,    10  ,  22%    ," 5,107"
Sound of Redemption: The Frank Morgan Story, NR, Tony Girardin,   90 minutes    , Tekno Hut  ,  70%    ,    9  ,  80%    , 37
Chronic, R (for intense prolonged realistically graphic sequences of war violence including grisly bloody images), Mel Gibson,   139 minutes    , Summit Entertainment  ,  85%    ,    59  ,  91%    ," 55,373"
Bad Santa 2, R (for some nudity and language), Michel Franco,   93 minutes    , Lucia Films  ,  76%    ,    132  ,  57%    , 659
Sophie and the Rising Sun," R (for crude sexual content and language throughout, and some graphic nudity)", Mark Waters (VIII),   92 minutes    , Miramax/Broad Green  ,  23%    ,    11  ,  34%    ," 10,347"
Manchester by the Sea, R (for some sexuality and nudity), Maggie Greenwald,   105 minutes    , Monterey Media  ,  64%    ,    339  ,  60%    , 147
All We Had, R (for language throughout and some sexual content.), Kenneth Lonergan,   135 minutes    , Roadside Attractions   ,  96%    ,    24  ,  78%    ," 50,028"
Allied, NR, Katie Holmes,   105 minutes    , Jaro/Noelle Productions  ,  42%    ,    248  ,  48%    , 228
Lavender," R (for violence, some sexuality/nudity, language and brief drug use)", Robert Zemeckis,   124 minutes    , Paramount Pictures  ,  60%    ,    21  ,  63%    ," 25,224"
Rules Don't Apply, NR, Ed Gass-Donnelly,   92 minutes    , AMBI Media Group and Samuel Goldwyn Films  ,  33%    ,    176  ,  25%    , 309
Officer Downe," R (for violence, menace, graphic nudity, and language)", Tom Ford (VIII) ,   115 minutes    , Focus Features  ,  74%    ,    12  ,  73%    ," 30,028"
Moonlight," R (for brutal bloody stylized violence throughout, a strong prolonged sex scene with nudity, and pervasive language)", Shawn Crahan,   92 minutes    , Blackmrkt  ,  33%    ,    374  ,  31%    , 171
La Leyenda del Chupacabras," R (for some sexuality, drug use, brief violence, and language throughout)", Barry Jenkins (III) ,   110 minutes    , A24 Films  ,  98%    ,    8  ,  79%    ," 45,145"
Contract to Kill," R (for pervasive language, some disturbing behavior and brief graphic nudity)", Adam Smith,   99 minutes    , A24 and DIRECTV  ,  57%    ,    5  ,  26%    ," 1,303"
The Red Pill," R (for violence, language and brief sexuality)", Keoni Waxman,   90 minutes    , Lionsgate  ,  0%    ,    7  ,  19%    , 142
Creepy (Kuripi: Itsuwari no rinjin), NR, Cassie Jaye,   117 minutes    , Jaye Bird Productions  ,  29%    ,    47  ,  92%    ," 1,504"
The Grace of Jake, NR, Kiyoshi Kurosawa,   130 minutes    , Shochiku Co. Ltd  ,  91%    ,    5  ,  60%    , 303
Drifter, NR, Chris Hicky,   90 minutes    , Indican Pictures  ,  80%    ,    11  ,  70%    , 137
100 Streets, NR, Chris von Hoffmann,   86 minutes    , Green Star Films  ,  36%    ,    39  ,  12%    , 87
The C Word, NR, Jim O'Hanlon,   93 minutes    , Green Door Pictures  ,  41%    ,    6  ,  36%    ," 1,544"
I don't feel at home in this world anymore., NR, Meghan O'Hara,   89 minutes    , Zorro and Me Films  ,  100%    ,    62  ,  94%    , 125
VooDoo, NR, Macon Blair,   96 minutes    , Film Science  ,  89%    ,    8  ,  77%    ," 4,719"
The Institute, NR, Tom Costabile,   84 minutes    , Hypercube Films  ,  25%    ,    5  ,  96%    , 613
Mike Birbiglia: Thank God for Jokes," R (for disturbing content/bloody violence, and graphic nudity)"," Pamela Romanowsky,  James Franco",   90 minutes    , Campbell Grobman Films  ,  0%    ,    8  ,  13%    , 178
Amy Schumer: The Leather Special, NR," Seth Barrish,  Mike Birbiglia",   70 minutes    , Netflix  ,  100%    ,    8  ,  79%    , 49
American Pastoral, NR, Amy Schumer,   57 minutes    , Netflix  ,  50%    ,    118  ,  5%    , 764
Ha-shoter (Policeman)," R (for some strong sexual material, language and brief violent images)", Ewan McGregor,   126 minutes    , Lakeshore Entertainment  ,  23%    ,    18  ,  29%    ," 2,586"
Trolls, NR, Nadav Lapid,   105 minutes    , Corinth Films  ,  61%    ,    161  ,  47%    , 175
Girlfriend's Day, PG (for some mild rude humor)," Mike Mitchell,  Walt Dohrn",   100 minutes    , DreamWorks Animation  ,  76%    ,    7  ,  67%    ," 38,865"
A Long Way From Home, NR, Michael Paul Stephenson,   70 minutes    , Netflix  ,  43%    ,    9  ,  36%    , 208
Bleed For This, NR, Virginia Gilbert,   85 minutes    , February Films  ,  33%    ,    141  ,  33%    , 19
Billy Lynn's Long Halftime Walk," R (for language, sexuality/nudity and some accident images)", Ben Younger,   116 minutes    , Open Road Films  ,  69%    ,    158  ,  69%    ," 8,822"
Speed Sisters," R (for language throughout, some war violence, sexual content, and brief drug use)", Ang Lee,   110 minutes    , Sony Pictures  ,  44%    ,    24  ,  41%    ," 6,216"
Golden Kingdom, NR, Amber Fares,   80 minutes    , SocDoc Studios  ,  92%    ,    7  ,  85%    , 255
Christine, NR, Brian Perkins,   104 minutes    , Alive Mind  ,  100%    ,    123  ,  70%    , 317
The Edge of Seventeen, R (for a scene of disturbing violence and for language including some sexual references), Antonio Campos,   115 minutes    , Borderline Films  ,  88%    ,    207  ,  71%    ," 5,488"
King Cobra," R (for sexual content, language and some drinking - all involving teens)", Kelly Fremon Craig,   98 minutes    , STX Entertainment  ,  94%    ,    35  ,  83%    ," 27,287"
Left on Purpose, NR, Justin Kelly,   91 minutes    , Yale Productions  ,  49%    ,    8  ,  32%    ," 1,576"
Come What May, NR," Justin Schein,  David Mehlman",   84 minutes    , Shadowbox Films  ,  88%    ,    20  ,  100%    , 79
Abattoir, NR (for some war violence/bloody images), Christian Carion,   114 minutes    , Cohen Media Group  ,  45%    ,    20  ,  56%    , 67
Arrival," R (for bloody horror violence, and language throughout)", Darren Lynn Bousman,   98 minutes    , Dark Web Productions  ,  35%    ,    417  ,  28%    , 443
Priceless, PG-13 (for brief strong language), Denis Villeneuve,   116 minutes    , 21 Laps Entertainment  ,  94%    ,    5  ,  82%    ," 82,903"
Spin Out," PG-13 (for mature thematic material involving human trafficking, and some violence)"," Chris Dowling,  Tyler Poelle",   97 minutes    , Radiate Films  ,  40%    ,    8  ,  77%    ," 2,513"
Tharlo, R (for language including sexual references)," Tim Ferguson,  Marc Gracie",   92 minutes    , Stella Rose Productions  ,  13%    ,    9  ,  47%    , 39
Justice League Dark, PG (for thematic elements and related images)," Jacques Cluzaud,  Jacques Perrin",   95 minutes    , Music Box Films  ,  96%    ,    9  ,  70%    ," 1,106"
In Dubious Battle, R, Jay Oliva,   66 minutes    , WARNER BROTHERS PICTURES  ,  78%    ,    23  ,  68%    ," 1,065"
1 Night (One Night), R (for some violence and brief sexuality), James Franco,   110 minutes    , Momentum Pictures  ,  30%    ,    6  ,  36%    , 313
The Crash (Jekyll Island), NR, Minhal Baig,   80 minutes    , Sorrento Productions  ,  33%    ,    12  ,  61%    , 157
Sex Doll, R (for language throughout), Aram Rappaport,   84 minutes    , Windward Entertainment  ,  17%    ,    5  ,  71%    , 281
Eagles of Death Metal: Nos Amis (Our Friends), NR, Sylvie Verheyde,   104 minutes    , IFC Midnight  ,  0%    ,    7  ,  41%    , 163
Trevor Noah: Afraid Of The Dark, NR, Colin Hanks,   84 minutes    , HBO Films  ,  100%    ,    5  ,  92%    , 114
Masterminds, PG-13 (for thematic material including a disturbing image), Ai Weiwei,   140 minutes    , Amazon Studios and Participant Media  ,  91%    ,    96  ,  81%    ," 1,607"
Inferno," PG-13 (for crude and sexual humor, some language and violence)", Jared Hess,   90 minutes    , Relativity Media  ,  33%    ,    247  ,  35%    ," 27,402"
The Light Between Oceans," PG-13 (for sequences of action and violence, disturbing images, some language, thematic elements and brief sensuality)", Ron Howard,   121 minutes    , Sony Pictures  ,  23%    ,    229  ,  36%    ," 28,704"
Imperial Dreams, PG-13 (for thematic material and some sexual content), Derek Cianfrance,   132 minutes    , Dreamworks Pictures  ,  62%    ,    12  ,  61%    ," 13,671"
Jack Reacher: Never Go Back, NR, Malik Vitthal,   87 minutes    , Netflix  ,  92%    ,    234  ,  82%    , 625
The 9th Life of Louis Drax," PG-13 (for sequences of violence and action, some bloody images, language and thematic elements)", Edward Zwick,   118 minutes    , Paramount Pictures  ,  37%    ,    66  ,  42%    ," 31,706"
Antarctica: Ice & Sky (La glace et le ciel), R (for some disturbing images and brief strong language), Alexandre Aja,   90 minutes    , Lionsgate's Summit Premiere and Miramax  ,  38%    ,    28  ,  37%    ," 1,950"
Bleak Street (La calle de la amargura), NR, Luc Jacquet,   89 minutes    , Music Box Films  ,  89%    ,    23  ,  50%    , 266
"Look at Us Now, Mother!", R (for strong violence and language), Jonás Cuarón,   90 minutes    , Itaca Films  ,  63%    ,    10  ,  46%    ," 4,541"
Antibirth, NR, Gayle Kirschenbaum,   84 minutes    , Kirschenbaum Productions  ,  80%    ,    32  ,  94%    , 112
The Eagle Huntress, NR, Danny Perez,   90 minutes    , Traverse Media  ,  69%    ,    124  ,  33%    , 481
Frank & Lola, G, Otto Bell,   87 minutes    , Kissiki Film  ,  94%    ,    42  ,  86%    ," 7,952"
Cameraperson, NR," Matthew M. Ross,  Matthew Ross",   88 minutes    , Parts and Labor  ,  69%    ,    99  ,  40%    ," 2,366"
Tyler Perry's Boo! A Madea Halloween, NR, Kirsten Johnson,   102 minutes    , Fork Films  ,  99%    ,    43  ,  68%    , 961
Shepherds and Butchers," PG-13 (for drug use and references, suggestive content, language, some horror images and thematic material)", Tyler Perry,   103 minutes    , Lionsgate  ,  19%    ,    9  ,  53%    ," 11,997"
Little Sister, NR, Joshua Locy,   85 minutes    , Mama Bear Studios  ,  96%    ,    34  ,  59%    , 311
Loving, NR, Zach Clark,   91 minutes    , Wraith Films  ,  94%    ,    283  ,  55%    , 554
The Anthropologist, PG-13 (for thematic elements), Jeff Nichols,   123 minutes    , Big Beach Films  ,  89%    ,    6  ,  76%    ," 19,645"
Nerdland, NR," Daniel A. Miller,  Jeremy Newberger,  Seth Kramer",   78 minutes    , Ironbound Films  ,  100%    ,    14  ,  74%    , 288
Almost Christmas, NR, Chris Prynoski,   85 minutes    , AKW Worldwide  ,  21%    ,    67  ,  27%    , 105
Gimme Danger," PG-13 (for suggestive material, drug content and language)", David E. Talbert,   120 minutes    , Will Packer Productions  ,  49%    ,    108  ,  64%    ," 7,740"
Passage to Mars, R (for drug content and language), Jim Jarmusch,   108 minutes    , Low Mind Films  ,  94%    ,    7  ,  70%    ," 2,187"
The Handmaiden (Ah-ga-ssi), NR, Jean-Christophe Jeauffre,   94 minutes    , Jules Verne Adventures  ,  29%    ,    206  ,  85%    , 490
Dr. Feelgood: Dealer or Healer?, NR, Park Chan-wook,   145 minutes    , CJ Entertainment  ,  95%    ,    6  ,  91%    ," 10,767"
The Monster, NR, Eve Marson,   84 minutes    , Diamond Docs  ,  83%    ,    47  ,  48%    , 236
Burn Country, R (for language and some violence/terror), Bryan Bertino,   91 minutes    , A24 and DIRECTV  ,  81%    ,    15  ,  40%    ," 4,806"
Eloise, NR, Ian Olds,   102 minutes    , ACE Productions  ,  60%    ,    9  ,  41%    , 205
Akron, R (for language and horror violence), Robert Legato,   89 minutes    , Vinson Films  ,  11%    ,    5  ,  17%    , 314
iBoy, NR," Brian O'Donnell,  Sasha King",   88 minutes    , Wolfe Releasing  ,  60%    ,    13  ,  74%    , 52
"Michael Bolton's Big, Sexy Valentine's Day Special", NR, Adam Randall (II) ,   91 minutes    , Netflix  ,  69%    ,    5  ,  39%    , 766
Max Steel, R (for bloody violence and language), Gonzalo López-Gallego,   97 minutes    , Vertical Entertainment  ,  36%    ,    21  ,  31%    , 426
Deepwater Horizon, PG-13 (for some sci-fi action violence), Stewart Hendler,   100 minutes    , Open Road Films  ,  0%    ,    253  ,  48%    ," 6,823"
Keeping Up With The Joneses," PG-13 (for prolonged intense disaster sequences and related disturbing images, and brief strong language.)", Peter Berg,   99 minutes    , Lionsgate  ,  83%    ,    122  ,  82%    ," 46,057"
Ouija: Origin of Evil," PG-13 (for sexual content, action/violence and brief strong language)", Greg Mottola,   101 minutes    , 20th Century Fox  ,  20%    ,    120  ,  37%    ," 14,106"
Kevin Hart: What Now?," PG-13 (for disturbing images, terror and thematic elements)", Mike Flanagan,   99 minutes    , Universal Pictures  ,  83%    ,    59  ,  57%    ," 14,841"
USS Indianapolis: Men of Courage," R (for some sexual material, and language throughout)"," Leslie Small,  Tim Story",   96 minutes    , Universal Pictures  ,  76%    ,    12  ,  58%    ," 10,363"
The Accountant, R (for war-related images and brief language), Mario Van Peebles,   135 minutes    , Saban Films  ,  17%    ,    278  ,  30%    ," 2,213"
Reset (Relève: Histoire d'une création), R (for strong violence and language throughout), Gavin O'Connor,   128 minutes    , Warner Bros. Pictures  ,  52%    ,    17  ,  76%    ," 46,567"
A Month Of Sundays, NR," Thierry Demaizière,  Alban Teurlai",   80 minutes    , FilmRise  ,  71%    ,    19  ,  45%    , 195
Ixcanul, PG-13, Matthew Saville,   116 minutes    , Monterey Media  ,  63%    ,    36  ,  62%    , 98
The Girl on the Train, NR, Jayro Bustamante,   91 minutes    , La Casa de Production  ,  100%    ,    298  ,  74%    ," 1,217"
Closet Monster," R (for violence, sexual content, language and nudity)", Tate Taylor,   112 minutes    , Universal Pictures  ,  44%    ,    30  ,  49%    ," 34,401"
The Whole Truth, NR, Stephen Dunn,   90 minutes    , Rhombus Media  ,  80%    ,    30  ,  72%    ," 2,277"
Denial, PG-13 (for language and some violence including a sexual assault), Courtney Hunt,   93 minutes    , PalmStar Media  ,  30%    ,    164  ,  32%    , 932
The Birth of a Nation, PG-13 (for thematic material and brief strong language), Mick Jackson,   110 minutes    , Participant Media  ,  82%    ,    262  ,  71%    ," 9,317"
The Free World," R (for disturbing violent content, and some brief nudity)", Nate Parker,   119 minutes    , Fox Searchlight Pictures  ,  73%    ,    19  ,  71%    ," 15,960"
Jim: The James Foley Story, R (for some violence and language), Jason Lew,   100 minutes    , Revelstoke Productions  ,  47%    ,    22  ,  54%    , 186
Under The Shadow, NR, Brian Oakes,   100 minutes    , HBO Films  ,  91%    ,    88  ,  74%    , 287
Zero Days," PG-13 (for terrror, scary images and brief language)", Babak Anvari,   84 minutes    , Wigwam Films  ,  99%    ,    70  ,  74%    ," 4,759"
Claire in Motion, PG-13 (for some strong language), Alex Gibney,   116 minutes    , Jigsaw Productions  ,  91%    ,    17  ,  75%    ," 3,219"
"My Father, Die", NR," Annie J. Howell,  Lisa Robinson",   80 minutes    , Breaking Glass Pictures  ,  59%    ,    14  ,  30%    , 160
I'm Not Ashamed, NR, Sean Brenden Brosnan,   90 minutes    , KnightMarcher  ,  64%    ,    10  ,  48%    , 148
Long Way North (Tout en haut du monde)," PG-13 (for thematic material, teen drinking and smoking, disturbing violent content and some suggestive situations)", Brian Baugh,   112 minutes    , Pure Flix  ,  20%    ,    53  ,  82%    ," 2,606"
Bright Lights: Starring Carrie Fisher and Debbie Reynolds, NR, Yeon Sang-ho,   118 minutes    , Redpeter Film  ,  93%    ,    57  ,  88%    ," 12,225"
Yarn, NR, Alexis Bloom,   95 minutes    , HBO Films  ,  100%    ,    9  ,  86%    , 594
Attack of the Lederhosen Zombies, NR," Una Lorenzen,  Thordur Jonsson,  Heather Millard",   76 minutes    , Compass Films Production  ,  78%    ,    11  ,  39%    , 115
Roger Corman's Death Race 2050, NR, Dominik Hartl,   78 minutes    , Level 33 Entertainment  ,  55%    ,    8  ,  38%    , 139
Come And Find Me, R, G.J. Echternkamp,   90 minutes    , New Horizons Picture Corp.  ,  88%    ,    13  ,  33%    , 391
Jim Gaffigan: Cinco, R (for language and some violence), Zack Whedon,   112 minutes    , Automatik Entertainment  ,  62%    ,    6  ,  33%    , 553
What Alice Found, NR, Neal Brennan,   65 minutes    , Netflix  ,  100%    ,    38  ,  83%    , 6
Fake It So Real," R (adult situations/language, nudity, sex)", A. Dean Bell,   96 minutes    , Castle Hill Productions  ,  68%    ,    11  ,  50%    , 716
The Dressmaker, NR, Robert Greene,   85 minutes    , Factory 25  ,  91%    ,    133  ,  49%    , 154
Miss Peregrine's Home for Peculiar Children, R (for brief language and a scene of violence), Jocelyn Moorhouse,   118 minutes    , Amazon Studios & Broad Green Pictures  ,  56%    ,    245  ,  66%    ," 9,911"
Ben-Hur, PG-13 (for intense sequences of fantasy action/violence and peril), Tim Burton,   127 minutes    , 20th Century Fox  ,  64%    ,    188  ,  60%    ," 38,815"
Hillsong - Let Hope Rise, PG-13 (for sequences of violence and disturbing images), Timur Bekmambetov,   124 minutes    , Paramount Pictures  ,  25%    ,    10  ,  53%    ," 18,984"
The Disappointments Room, PG (for some thematic elements), Michael John Warren,   103 minutes    , PureFlix  ,  60%    ,    25  ,  79%    ," 4,412"
Suicide Squad," R (for violent content, bloody images, some sexuality and language)", D.J. Caruso,   100 minutes    , Relativity Studios  ,  0%    ,    370  ,  17%    ," 3,412"
The Magnificent Seven," PG-13 (for sequences of violence and action throughout, disturbing behavior, suggestive content and language)", David Ayer,   123 minutes    , Warner Bros. Pictures  ,  27%    ,    306  ,  59%    ," 145,509"
Snowden," PG-13 (for extended and intense sequences of Western violence, and for historical smoking, some language and suggestive material)", Antoine Fuqua,   132 minutes    , Sony Pictures  ,  64%    ,    255  ,  72%    ," 49,097"
When the Bough Breaks, R (for language and some sexuality/nudity), Oliver Stone,   134 minutes    , Open Road Films  ,  60%    ,    23  ,  70%    ," 28,616"
Storks," PG-13 (for violence, sexuality/partial nudity, thematic elements, some disturbing images, and language)", Jon Cassar,   93 minutes    , Sony Pictures  ,  13%    ,    136  ,  45%    ," 6,594"
Sully, PG (for mild action and some thematic elements)," Nicholas Stoller,  Doug Sweetland",   87 minutes    , Warner Bros. Pictures  ,  66%    ,    337  ,  62%    ," 24,823"
Hitchcock/Truffaut, PG-13 (for some peril and brief strong language), Clint Eastwood,   96 minutes    , Warner Bros.  ,  85%    ,    117  ,  84%    ," 48,434"
Greater, PG-13 (for suggestive material and violent images), Kent Jones,   80 minutes    , Cohen Media Group LLC  ,  96%    ,    15  ,  76%    ," 6,101"
31," PG (for rude humor throughout, language and thematic elements)", Steve Carr,   92 minutes    , James Patterson Entertainment  ,  63%    ,    45  ,  58%    ," 5,352"
Operation Avalanche," R (for strong bloody horror violence, pervasive language, sexual content and drug use)", Rob Zombie,   103 minutes    , Bow and Arrow Entertainment  ,  47%    ,    60  ,  35%    ," 4,503"
The Monkey King 2 (San Da Bai Gu Jing), R (for language including a brief sexual reference), Matt Johnson,   93 minutes    , XYZ Films  ,  68%    ,    5  ,  53%    ," 1,868"
American Honey, NR," Jan 25, 2014 limited",   120 minutes    , Global Star Productions  ,  100%    ,    208  ,  51%    , 971
No Manches Frida," R (for strong sexual content, graphic nudity, language throughout, drug/alcohol abuse - all involving teens)", Andrea Arnold,   162 minutes    , Parts and Labor  ,  79%    ,    8  ,  63%    ," 8,444"
Kill Command," PG-13 (for crude sexual content, drug material, teen smoking and drinking, brief strong language and gestures, and thematic elements)", Nacho G. Velilla,   100 minutes    , Constantin Film Produktion  ,  13%    ,    12  ,  73%    ," 2,734"
A Man Called Ove (En man som heter Ove), NR, Steven Gomez,   99 minutes    , Vertigo Films  ,  75%    ,    114  ,  44%    ," 1,660"
In a Valley of Violence," PG-13 (for thematic content, some disturbing images, and language)", Hannes Holm,   116 minutes    , Tre Vänner Produktion AB  ,  90%    ,    68  ,  87%    ," 9,756"
Coming Through The Rye, R (for violence and language), Ti West,   104 minutes    , Blumhouse Productions  ,  76%    ,    23  ,  51%    ," 4,056"
Blair Witch," PG-13 (for some drug material, sexuality and language)", James Steven Sadwith,   97 minutes    , Red Hat Films  ,  70%    ,    216  ,  65%    , 348
Dog Eat Dog," R (for language, terror and some disturbing images.)", Adam Wingard,   89 minutes    , Vertigo Entertainment  ,  37%    ,    70  ,  31%    ," 12,793"
Morgan, NR, Paul Schrader,   95 minutes    , Ingenious Media  ,  50%    ,    151  ,  18%    , 711
Shelley," R (for brutal violence, and some language.)", Luke Scott,   92 minutes    , Scott Free Films  ,  38%    ,    11  ,  30%    ," 6,754"
Barry, NR, Maren Louise Käehne,   93 minutes    , Profile Pictures  ,  100%    ,    46  ,  38%    , 389
Pet, NR, Vikram Gandhi,   104 minutes    , Netflix  ,  80%    ,    18  ,  52%    , 863
It Had to Be You," R (for strong bloody violence, some grisly images, language and brief sexuality)", Carles Torrens,   90 minutes    , Magic Lantern  ,  56%    ,    5  ,  32%    ," 1,029"
Phantasm, R (for some sexual content and language), Sasha Gordon,   85 minutes    , Vandewater Media  ,  60%    ,    45  ,  42%    , 146
The Secret Life of Pets, R, Don Coscarelli,   88 minutes    , Well Go USA Entertainment  ,  73%    ,    228  ,  67%    ," 24,605"
Phantasm: Ravager, PG (for action and some rude humor)," Yarrow Cheney,  Chris Renaud",   90 minutes    , Universal Pictures  ,  73%    ,    14  ,  62%    ," 82,421"
The Frontier, NR, David Hartman,   100 minutes    , Well Go USA Entertainment  ,  57%    ,    6  ,  29%    , 709
Jason Bourne, NR, Oren Shai,   88 minutes    , Rocking Films  ,  50%    ,    317  ,  50%    , 71
Sugar Mountain," PG-13 (for intense sequences of violence and action, and brief strong language)", Paul Greengrass,   123 minutes    , Universal  ,  54%    ,    11  ,  55%    ," 56,807"
The Hollars, NR, Richard Gray,   106 minutes    , Screen Media Films  ,  36%    ,    90  ,  35%    , 244
For the Love of Spock, PG-13 (for brief language and some thematic material), John Krasinski,   88 minutes    , Sony Pictures Classics  ,  46%    ,    30  ,  59%    ," 3,812"
SiREN, NR, Adam Nimoy,   111 minutes    , Gravitas Ventures  ,  100%    ,    20  ,  82%    ," 1,648"
The Great Gilly Hopkins, NR, Gregg Bishop,   120 minutes    , Chiller Films  ,  65%    ,    17  ,  40%    , 618
808, PG (for thematic material and language), Stephen Herek,   97 minutes    , Lionsgate Premiere  ,  65%    ,    6  ,  62%    , 19
Southside With You, NR, Alex Dunn,   94 minutes    , You Know Films  ,  100%    ,    159  ,  61%    , 95
Oddball and the Penguins (Oddball)," PG-13 (for brief strong language, smoking, a violent image and a drug reference)", Richard Tanne,   84 minutes    , Miramax and Roadside Attractions  ,  92%    ,    23  ,  72%    ," 9,499"
Heart of a Dog, NR, Shinji Higuchi,   88 minutes    , FUNimation Films  ,  50%    ,    90  ,  35%    ," 2,320"
Bridget Jones's Baby, NR, Laurie Anderson,   75 minutes    , Canal Street Communications  ,  96%    ,    207  ,  64%    ," 2,687"
The Rocky Horror Picture Show: Let's Do the Time Warp Again," R (for language, sex references and some nudity)", Sharon Maguire,   122 minutes    , Working Title  ,  78%    ,    40  ,  65%    ," 19,952"
Author: The JT LeRoy Story, NR, Kenny Ortega,   120 minutes    , Fox 21  ,  28%    ,    90  ,  25%    , 510
